1012,COMMON ACTIVITIES,AUTHORISATIONS,Vehicle authorisations,Records relating to authorisation requests to use agency vehicles.  Includes authorisations for private use!! to carry passengers that are not agency employees or home garage agency vehicles. Also includes the use of private vehicles for official business. Records may include!! but are not limited to:  * requests * approvals * refusals. ,7 years after business action completed.,2016-09-01
1263,COMMON ACTIVITIES,AUTHORISATIONS,Travel authorisations/approvals,Records relating to applications!! approvals and authorisations for employees travelling for work related proposes. Includes interstate travel. Records may include!! but are not limited to: * applications * approvals.,7 years after business action completed.,2016-09-01
1013,COMMON ACTIVITIES,COMMITTEES,Advisory bodies,Records relating to external advisory bodies that provide support for policy development!! decision making and service delivery of agencies by providing informed and independent advice.  Includes the nomination and appointment of advisory board members.  Records may include!! but are not limited to: * records establishing the advisory body * nomination and appointment of members * correspondence * agendas!! minutes and related papers.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1014,COMMON ACTIVITIES,COMMITTEES,High-level committees,Records relating to high-level committees that have overall responsibility for making major policy and planning decisions for agencies. Includes the nomination and appointment of committee members.  High-level committees include!! but are not limited to:  * internal committees established to implement major agency programs * external and inter-agency committees where the agency provides the secretariat. Records may include!! but are not limited to: * records establishing the committee * nomination and appointment of members * minutes * reports * recommendations * supporting documentation!! e.g. briefing papers!! working papers.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1015,COMMON ACTIVITIES,COMMITTEES,Committees - other ,Records relating to all other committees including:  * internal committees formed to consider specific matters!! e.g. audit committee!! operational finance committees and ad hoc committees * external and inter-agency committees where the agency is a member and does not provide the secretariat. Records may include!! but are not limited to: * records establishing the committee * nomination and appointment of members * minutes * reports * recommendations * supporting documentation!! e.g. briefing papers!! working papers. ,5 years after business action completed.,2016-09-01
1156,COMMON ACTIVITIES,COMPENSATION,Claims - significant,Records relating to compensation claims which are of significance to the agency and/or to the wider community.  Includes claims which go to appeal. Significant compensation claims may include!! but are not limited to those that: * have whole-of-government implications * set precedents or have potential significance for decision-making * require significant changes to an agencyês policies or operations * require a significant level of coordination or cooperation between different agencies * specify the size of the claim made by or against the State * are heard in the High Court * involve matters that raise legal!! political or policy issues which are sensitive for the State * attract or is likely to attract major public interest or controversy. Records may include!! but are not limited to: * accident reports * agreements * appeal records including appeals to the Queensland Civil and Administrative Tribunal (QCAT) or Queensland Industrial Relations Commission * appointment of a case manager or rehabilitation provider * assessment reports * claims * claim reviews * correspondence and notes on meetings or conversations with claimants * determinations * legal advice * medical reports and certificates * progress reports * return to work plans * witness statements.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1264,COMMON ACTIVITIES,COMPENSATION,Claims - hazardous substance conditions,Records relating to compensation claims submitted on behalf of a claimant who has been exposed or potentially exposed to a hazardous substance!! e.g. asbestos. Records may include!! but are not limited to: * claim records * reports _ accident/incident!! assessment!! medical!! etc. * settlement agreements * correspondence with insurers and/or claimants * notifications * payment details * witness statements.,100 years after business action completed.,2016-09-01
1157,COMMON ACTIVITIES,COMPENSATION,Claims - self-insurance scheme,Records relating to workersê compensation claims processed by an agency that is licensed as a self-insurer and not sent to WorkCover Queensland. Records may include!! but are not limited to: * accident reports * agreements * appeal records including appeals to the Queensland Civil and Administrative Tribunal (QCAT) * appointment of a case manager or rehabilitation provider * assessment reports * claims * claim reviews * correspondence and notes on meetings or conversations with claimants * determinations * legal advice * medical reports and certificates * progress reports * witness statements.,55 years after settlement of claim.,2016-09-01
1158,COMMON ACTIVITIES,COMPENSATION,Claims - involving minors ,Records relating to compensation claims submitted on behalf of a claimant who was a minor at the time of the incident.  Includes claims made by members of the public!! work experience students and volunteers. Claims may include!! but are not limited to: * personal injury * property damage * motor vehicle damage * other insurance claims. Records may include!! but are not limited to: * accident/incident reports * agreements * assessment reports * claim records * correspondence with insurers * medical certificates/reports * notifications * payment details * witness statements.,When child reaches 27 years of age.,2016-09-01
1159,COMMON ACTIVITIES,COMPENSATION,Claims - other,Records relating to all other compensation and/or insurance claims submitted or received by the agency.  Claims include!! but are not limited to: * personal injury * property damage * compulsory acquisition of private property * motor vehicle damage * workersê compensation _ submitted to the agency responsible for implementing the statutory workersê compensation scheme (e.g. WorkCover Queensland) * pay and working conditions * all other insurance claims. Records may include!! but are not limited to: * claim forms and registers * reports _ accident/incident!! assessment!! medical!! etc. * correspondence with insurers and/or claimants  * medical certificates * payment details * witness statements * settlement agreements * claim outcome.,7 years after settlement of claim.,2016-09-01
1016,COMMON ACTIVITIES,COMPLIANCE,Compliance breaches - significant,Records relating to significant breaches of legislative requirements by the agency. Significant breaches may include!! but are not limited to: * contentious or litigious matters and/or set a precedent  * lead to a major change in policies * matters of major public interest or controversy * matters presented to Parliament. Records may include!! but are not limited to: * breach notices * fines * remedial action.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1017,COMMON ACTIVITIES,COMPLIANCE,Compliance breaches - other,Records relating to breaches of legislative requirements by the agency that are not considered significant. Compliance breaches may include!! but are not limited to: * industrial relations breaches * privacy breaches * work health and safety breaches. Records may include!! but are not limited to: * breach notices * fines * remedial action.,7 years after business action completed.,2016-09-01
1018,COMMON ACTIVITIES,COMPLIANCE,Compliance exemptions,Records relating to agency exemptions from compliance with specific legislative provisions.  Exemptions include!! but are not limited to: * Anti-Money Laundering and Counter Terrorism Financing Act 2006 * Financial and Performance Management Standard 2009. Records may include!! but are not limited to: * applications to and correspondence with the Treasurer * application for exemption * decision notice from AUSTRAC * legal advice received by the agency relating to grounds for exemption.,7 years after expiry or refusal of exemption.,2016-09-01
1019,COMMON ACTIVITIES,COMPLIANCE,Compliance with legislation and/or standards,Records relating to initiatives at an agency-wide or program-specific level to measure and improve the agencyês operations in order to be compliant with mandatory or optional standards. Records may include!! but are not limited to: * records of assessments of requirements with which the agency needs to comply * background research into existing levels of compliance and breaches * records of development of initiatives to improve compliance.,7 years after business action completed.,2016-09-01
1020,COMMON ACTIVITIES,COMPLIANCE,Compliance inspections and quality assurance,Records relating to compliance inspections!! and quality assurance initiatives!! designed to measure the agencyês compliance with mandatory or optional standards. Compliance includes!! but is not limited to: * inspections of agency records by an external regulator  * assessment and certification of the agencyês systems by an external organisation. Records may include!! but are not limited to: * inspection reports * records of assessments of requirements with which the agency needs to comply * certificates * recommendations.,7 years after business action completed.,2016-09-01
1021,COMMON ACTIVITIES,CORRUPTION PREVENTION AND DETECTION,Corruption cases - significant,Records relating to significant cases of agency misappropriation!! fraud!! theft or negligence. Significant corruption cases may include!! but are not limited to: * have significant public interest * identify significant systemic issues resulting in major changes to the structure!! policies and/or procedures of the agency * proceed to a Royal Commission or Parliamentary Inquiry * result in changes to legislation or the implementation of new corruption prevention systems within the agency * result in the dismissal of an employee. Records may include!! but are not limited to: * investigation records * records of liaison with external agencies * reports.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1022,COMMON ACTIVITIES,CORRUPTION PREVENTION AND DETECTION,Corruption cases - other,Records relating to cases of agency misappropriation!! fraud!! theft or negligence that are not considered significant. Records may include!! but are not limited to: * investigation records * records of liaison with external agencies * reports.,7 years after business action completed.,2016-09-01
1023,COMMON ACTIVITIES,EVALUATING AND REVIEWING,Evaluations and reviews - significant,Records relating to significant evaluations or reviews of potential or existing agency functions!! programs!! services and systems. Significant evaluations and reviews may include!! but are not limited to: * strategic-level evaluations of agency programs and services and systems * involve contentious or litigious matters and/or set a precedent * result in major changes to policy and standards * involve major public interest or controversy * matters presented to Parliament. Records may include!! but are not limited to: * records establishing the evaluation or review * background research including questionnaires!! surveys/checklists!! and interviews * modelling  * business cases for new programs/initiatives * draft versions of reports containing significant changes/alterations or formally circulated for comment * final!! approved versions of reports!! project or action plans.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1024,COMMON ACTIVITIES,EVALUATING AND REVIEWING,Evaluations and reviews - other,Records relating to other evaluations or reviews of potential or existing agency functions!! programs!! services and systems.  Includes operational-level evaluations and reviews. Records may include!! but are not limited to: * records establishing the evaluation or review * background research including questionnaires!! surveys/checklists!! and interviews * modelling  * business cases for new programs/initiatives * draft versions of reports containing significant changes/alterations or formally circulated for comment * final!! approved versions of reports!! project or action plans.,5 years after business action completed.,2016-09-01
1025,COMMON ACTIVITIES,LIAISON,Stakeholder engagement,Records relating to stakeholder consultation and engagement where an ongoing active relationship and two-way flow of information exists. Records may include!! but are not limited to: * reports * related correspondence * identification of stakeholders * stakeholder analysis and engagement plan * stakeholder needs analysis * stakeholder communication plan.,7 years after business action completed.,2016-09-01
1026,COMMON ACTIVITIES,LIAISON,Client relationship management,Records relating to the management of client relationships. Records may include!! but are not limited to: * minutes of meetings held with the client * file notes.,7 years after business action completed.,2016-09-01
1027,COMMON ACTIVITIES,LIAISON,Liaison,Records relating to general liaison activities undertaken with professional and industry associations!! private sector organisations and community groups.  Includes gaining professional membership of associations!! liaising for potential donors and industrial relations meetings. Records may include!! but are not limited to: * membership forms * agendas and minutes of meetings * proposals * related correspondence.,5 years after business action completed.,2016-09-01
1028,COMMON ACTIVITIES,MEETINGS,Routine meetings,Records relating to routine meetings of agency employees. Records may include!! but are not limited to: * agenda and minutes * related correspondence.,2 years after business action completed.,2016-09-01
1029,COMMON ACTIVITIES,PLANNING,Plans - significant,Final approved versions of strategic or high-level plans including:  * strategic plans for the agency as a whole * Statement of Corporate Intent * high-level planning of the agencyês core business functions!! activities!! projects!! programs and services.  Includes records relating to the development and review of significant agency plans. Excludes specific purpose or operational plans.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1030,COMMON ACTIVITIES,PLANNING,Specific purpose plans - final,Final approved versions of specific purpose plans applying to the agency as a whole.  Excludes significant and operational plans. Specific purpose plans include!! but are not limited to: * risk management * corporate procurement planning * workforce planning * ICT planning * asset strategic planning * property management * disaster recovery * business continuity.,7 years after plan is superseded.,2016-09-01
1031,COMMON ACTIVITIES,PLANNING,Operational plans - final,Final approved versions of operational plans and unit level work plans.  Excludes significant or specific purpose plans.  Operational plans may include!! but are not limited to: * financial operation plans * moveable asset plans * staff plans.,5 years after plan is superseded.,2016-09-01
1032,COMMON ACTIVITIES,PLANNING,Plan development,Records relating to the development and review of agency plans. Excludes development of significant plans. Records include!! but are not limited to: * background research * draft versions of plans containing significant changes/alterations for formally circulated for comment * notes of meetings or reports analysing issues and the outcomes of consultation with employees!! unions!! stakeholders etc.,3 years after business action completed.,2016-09-01
1033,COMMON ACTIVITIES,POLICY,Core/functional policy - final,Final approved versions of strategic or high-level policies!! standards and guidelines including:  * core/functional policy!! for use by the agency and/or its clients * whole-of-government policy _ either developed by the agency or where the agency provided substantial/major input * high-level policy relating to the administration of the agency (e.g. outsourcing and service provision). Includes records relating to the development of core/functional agency policies!! standards and guidelines and policies that do not proceed. Records may include!! but are not limited to: * policy proposals * research papers * results of consultations * supporting reports * major drafts.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1034,COMMON ACTIVITIES,POLICY,Administrative policy - final,Final version of mid/low-level or operational policies!! standards and guidelines relating to the administration of the agency. Includes the development of agency policies!! standards and guidelines and policies that do not proceed. Excludes policies relating to the management of heritage properties!! core/functional policy and work health and safety policies. Administrative policies may include!! but are not limited to: * financial management * property management * risk management * records management * asset management * human resource management * fleet management Records may include!! but are not limited to: * policy proposals * research papers * results of consultations * supporting reports * major drafts.,7 years after business action completed.,2016-09-01
1037,COMMON ACTIVITIES,PROCEDURES,Administrative/operational procedures - final,Final approved versions of manuals!! handbooks!! etc.!! detailing procedures developed by the agency which apply to its administration.  Includes forms management. Also includes the development and review of the agencyês manuals!! handbooks!! directives!! etc. Procedures may include!! but are not limited to: * quality assurance * gifts and benefits * employee complaints * finance. Records may include!! but are not limited to: * forms * checklists * instructions * flowcharts * background research * draft versions of procedures containing significant changes/alterations or formally circulated for comment * notes of meetings or reports analysing issues and the outcomes of consultation with employees!! unions!! stakeholders!! etc.,3 years after business action completed.,2016-09-01
1039,COMMON ACTIVITIES,PROJECT MANAGEMENT,Projects - significant,Records relating to the development!! implementation!! review and closure of significant projects!! where: * the agency has had major input into the projectês planning!! development and implementation * the agency is a principal driver of the project and performs secretariat duties for the board/committee responsible for managing project records * the agency is a driver of the project and administers the funding for the project. Significant projects may include!! but are not limited to:  * the project is innovative!! unique or precedent setting * the project involves buildings!! items or property considered to have cultural heritage significance * the project is of region-wide or State interest * the project generated substantial debate or controversy * the project concerns major liabilities or obligations for the agency. Includes records of significant projects that do not proceed. Records may include!! but are not limited to: * project briefs/project plans/project initiation documents * project/progress reports * project meeting documentation * project schedules/timelines * change requests * project risk assessments/registers and issues logs * project budget documentation * project closure/evaluation reports.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1040,COMMON ACTIVITIES,PROJECT MANAGEMENT,Projects - other,Records relating to the development!! implementation!! review and closure of projects that are not considered significant. Includes the development of a project management methodology and systems for reporting and monitoring of projects. Records may include!! but are not limited to: * project briefs!! project plans!! project initiation documents * project progress reports * project meeting documentation * project schedules!! timelines!! dashboards * change requests * project risk assessments!! registers and issues logs * project budget documentation * project closure!! evaluation reports.,7 years after business action completed.,2016-09-01
1265,COMMON ACTIVITIES,PROJECT MANAGEMENT,Projects that do not proceed,Records relating to projects that do not proceed. Excludes significant projects that do not proceed. Records may include!! but are not limited to: * project plans * project briefs.,2 years after business action completed.,2016-09-01
1042,COMMON ACTIVITIES,REPORTING,Reports - significant,Significant reports may include!! but are not limited to: * strategic level reports relating to the agencyês core functions and performance * those with whole-of-government implications. Includes whole-of-government reporting performed by agencies that have an overview of other agencyês compliance with legislation. Also includes both published and unpublished reports. Records may include!! but are not limited to: * annual reports.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1044,COMMON ACTIVITIES,REPORTING,Reports - other,All other reports!! both published and unpublished!! on the agencyês functions and performance including: * operational level reports * formal reports provided to external agencies as a statutory obligation * periodic reports required by lead agencies on a regular basis!! e.g. right to information!! workforce management!! etc. * financial reports relating to the monitoring of recurring activities!! e.g. statistics and budget forecasts.  Records may include!! but are not limited to: * performance reports * periodic reports * key performance indictors (KPIs) * review reports * statistical and survey reports * Chief Finance Officer statements and supporting documentation * notifications of losses.,7 years after business action completed.,2016-09-01
1045,COMMON ACTIVITIES,REPORTING,Reports development,Records relating to the development and review of agency reports.  Reports may include!! but are not limited to: * background research!! including raw statistical data * draft versions of procedures containing significant changes/alterations or formally circulated for comment * notes of meetings or reports analysing issues and the outcomes of consultation with employees!! unions!! stakeholders etc.,3 years after business action completed.,2016-09-01
1046,COMMON ACTIVITIES,RESEARCH,Research - significant,Records relating to significant research conducted to support the functions of the agency.  Includes research material commissioned by the agency but prepared by an external party. Significant research may include!! but is not limited to: * strategic direction and agency-wide issues * core functional activities * analysis of trends and research where source material is unique or difficult to obtain * original scientific or technical research forming the basis of agency publications. Records may include!! but are not limited to: * scope of research * expressions of interest * surveys * progress reporting * statistical data * results!! e.g. final report!! visual representations.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1047,COMMON ACTIVITIES,RESEARCH,Research - other,Records relating to detailed research conducted to support the functions of the agency.  Includes research concerning operational issues and administrative matters. Records may include!! but are not limited to: * scope of research * expressions of interest * surveys * progress reporting * statistical data * results.,5 years after business action completed.,2016-09-01
1048,COMMON ACTIVITIES,RESEARCH,Research - short term,Records relating to short term research conducted in an agency for assessment purposes only. Excludes formal research projects. Records may include!! but are not limited to: * statistics * internal briefing papers.,2 years after business action completed.,2016-09-01
1051,COMMON ACTIVITIES,RISK MANAGEMENT,Risk assessment and mitigation,Records relating to the identification!! assessment and monitoring of risks!! including the implementation of risk reduction practices and procedures.  Includes the management of strategic!! financial and property risks.  Excludes records relating to work health and safety risk management processes. Records may include!! but are not limited to: * internal control measures and procedures * assessments and recommendations * action and implementation plans * reports relating to risk mitigation and management.,7 years after business action completed. ,2016-09-01
1052,COMMON ACTIVITIES,SECURITY INVESTIGATIONS,Security breaches - significant,Records relating to significant security breaches!! which may result in the laying of charges or where sabotage is strongly suspected: * unauthorised access!! use!! disclosure!! disruption!! modification!! recording/copying or destruction of records and information (e.g. records have been removed from official custody and passed onto a third party!! digital information has been hacked!! etc.) * break-ins * unauthorised access or entry/trespass * intrusion into restricted areas * terrorism * intentional damage * bomb threats * fires. Includes referral to law enforcement authorities. Records may include!! but are not limited to: * investigation reports * liaison with emergency services * reports of breaches or incidents.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1053,COMMON ACTIVITIES,SECURITY INVESTIGATIONS,Security breaches - other,Records relating to security breaches which do not result in the laying of charges or the breach is not considered severe!! including: * unauthorised access or entry to buildings or restricted areas!! including unintentional access * minor damage to premises or vehicles (e.g. scratches!! dents!! paint damage). Records may include!! but are not limited to: * investigations reports * reports of breaches or incidents * reports on responses to alarms.,5 years after business action completed.,2016-09-01
1202,COMMON ACTIVITIES,SURVEILLANCE AND MONITORING,Surveillance footage provided to investigative and law enforcement agencies,Surveillance recordings requested by investigative and law enforcement agencies. Excludes the investigative and law enforcement agencies requests and responses. Records may include!! but are not limited to: * videos * photographs * other digital images * recorded material using technology such as closed circuit televisions (CCTV)!! body worn cameras etc.,1 year after recordings sent to relevant law enforcement agency.,2016-09-01
1284,COMMON ACTIVITIES,SURVEILLANCE AND MONITORING,Surveillance footage captured for a specific purpose,Records of surveillance and monitoring activities captured for a specific purpose and are not required for investigative purposes or evidence. Excludes continuous surveillance captured for routine purposes.   Also excludes extracts of surveillance monitoring records provided to an investigative or law enforcement agency. Records may include!! but are not limited to: * videos * photographs * other digital images * recorded material using technology such as body worn cameras!! e.g. GoPros etc. NOTE: Retain surveillance footage required by the agency as evidence in accordance with the relevant record class in this schedule or another approved schedule.,90 days after record created.,2016-09-01
1174,ASSET MANAGEMENT,MOVEABLE ASSETS,Moveable assets - hazardous substances ,Records relating to the acquisition!! storage and handling of hazardous substances for agency use.  Includes radioactive materials and radiation equipment (e.g. x-ray equipment)!! laboratory chemicals and pesticides. Records may include!! but are not limited to: * hazardous chemicals register * hazardous chemicals stocktake form * chemical task risk assessment worksheet * storage and handling risk assessment * low risk spills-response checklist.,100 years after business action completed.,2016-09-01
1175,ASSET MANAGEMENT,MOVEABLE ASSETS,Moveable assets - business/software applications,Non-financial records relating to the development!! modification!! configuration and/or disposal of specific applications or interactive apps to meet business needs which go into production.  Excludes the acquisition and/or disposal of specific applications or interactive apps which are acquired •off-the-shelfê or through the acquisition of software as a service (i.e. cloud)!! and which do not require customisation. Also excludes contractual records!! data quality and integrity!! control mechanisms!! data migrations and specialised digital preservation treatments.  Records may include!! but are not limited to: * final versions of application documentation _ includes user and technical manuals!! application specific data dictionaries!! business rules!! user requirements!! system specifications * feasibility and pilot studies * user testing  * customisation and requests for system changes  * final sign-offs by all parties. NOTE: Before the transfer of any permanent application data!! contact Queensland State Archives to determine what application documentation is required to facilitate ongoing access to and preservation of these permanent records. ,7 years after application is closed!! discontinued or superseded (through upgrade or major modification).,2016-09-01
1180,ASSET MANAGEMENT,MOVEABLE ASSETS,Moveable assets - other,Non-financial records relating to the acquisition or hire!! maintenance and disposal of other moveable assets.  Other moveable assets include!! but are not limited to: * specific applications or interactive apps which are •off-the-shelfê and do not require customisation * office equipment * desktop computers * agency vehicles. Excludes records relating to radioactive materials/equipment!! registered plant and the sanitisation of technology equipment. Also excludes contractual records!! data quality and integrity!! control mechanisms!! data migrations!! vehicle maintenance!! specialised digital preservation treatments and development/disposal documentation for business/software applications.  Records may include!! but are not limited to: * acquisition _ business requirements (e.g. business and system analysis); specification development (i.e. statements of requirements!! proposal requests!! expressions of interest and business cases!! initial pilot testing); evaluation of commercial off-the-shelf products and services and whole of government solutions (including shared systems suites and endorsed suppliers) against business requirements; feasibility assessments for outsourcing; consultation with employees!! stakeholders!! etc.!! decisions and/or approvals!! formal requests for quotes!! orders!! handover reports!! routine forms!! correspondence!! independent valuation certificates for vehicles * maintenance _ maintenance requests; maintenance plans!! schedules and inspections; integrity testing; defect/fault reports; certificates of calibration and servicing * disposal _ handover reports; written quotes; auction!! sale or transfer records; independent valuation certificates verifying work undertaken on assets prior to valuation; destruction details; correspondence to/from leasing companies regarding return of equipment and stores.,7 years after business action completed.,2016-09-01
1179,ASSET MANAGEMENT,MOVEABLE ASSETS,Moveable assets - registered plant ,Records relating to the management of registered plant kept in accordance with the Work Health and Safety Regulation 2011.  Records may include!! but are not limited to: * development/issue of specifications * registration * testing * inspections * maintenance * calibrations * commissioning/decommissioning * dismantling * alterations.,7 years after the plant has been scrapped or ownership transferred.,2016-09-01
1181,ASSET MANAGEMENT,MOVEABLE ASSETS,Moveable assets installation,Records relating to installing and configuring moveable assets!! including off-the-shelf software products and the commissioning of internally developed applications. Excludes asset installations that involve structural changes to premises or installation sites. Records may include!! but are not limited to: * consultation with employees!! stakeholders etc. * implementation strategies (e.g. for ICT installations this includes direct changeover!! parallel running!! phased implementation and running pilots) * implementation testing * monitoring of implementation.,5 years after business action completed.,2016-09-01
1183,ASSET MANAGEMENT,MOVEABLE ASSETS,Acquisitions not proceeded with,Records relating to acquisitions that are not proceeded with. Records may include!! but are not limited to: * research and investigation.,2 years after business action completed.,2016-09-01
1186,ASSET MANAGEMENT,MOVEABLE ASSETS,Warranties and guarantees,Records relating to warranties and guarantees for all moveable assets. ,Until expiry or until item is disposed of!! whichever is sooner.,2016-09-01
1187,ASSET MANAGEMENT,MOVEABLE ASSETS,Agency operating manuals,Operating manuals and instructions developed by the agency for operating all forms of equipment.  Excludes manuals for software applications. ,While equipment remains with the agency OR until superseded.,2016-09-01
1178,ASSET MANAGEMENT,VEHICLES,Moveable assets - vehicles (maintenance),Records relating to the maintenance!! repair and modification of agency vehicles. Records may include!! but are not limited to: * maintenance logbooks * vehicle service history log books.,Transfer to new owner after sale or retain for 1 year after disposal of vehicle.,2016-09-01
1184,ASSET MANAGEMENT,VEHICLES,Vehicle registrations,Records relating to the registration of agency vehicles!! including roadworthy inspections and registration renewals. Records may include!! but are not limited to: * registration notice * roadworthy certificates.,1 year after expiry of registration.,2016-09-01
1317,ASSET MANAGEMENT,VEHICLES,Vehicle bookings,Records relating to staff use of agency vehicles. Excludes records required under the Fringe Benefits Tax (FBT) Assessment Act 1986. Records may include!! but are not limited to: * vehicle log books * vehicle booking logs.,1 year after business action completed.,2016-09-01
1063,COLLECTION MANAGEMENT,COLLECTION PRESERVATION,Preventive conservation,Records relating to preventive conservation activities applied to the whole collection of a library!! art gallery!! museum or other special collection including: * monitoring the condition of the collection * rehousing of items * temperature!! pest and humidity control and monitoring * pest control management activities. Records may include!! but are not limited to: * pest inspection reports.,5 years after business action completed.,2016-09-01
1054,COLLECTION MANAGEMENT,CULTURAL COLLECTION MANAGEMENT,Cultural collections - development and management,Records relating to the development and management of cultural collections including: * selection and appraisal * acquisition by purchase!! donation or transfer * accessioning and cataloguing * preservation!! including any chemical or physical treatments * deaccessioning and disposal via sale!! transfer!! auction!! destruction or repatriation. Records may include!! but are not limited to: * selection assessments!! appraisals and justifications including statements of significance * acquisition details including valuations!! purchase details!! transfer of ownership papers!! permits!! donation and bequest documentation!! deposit conditions and access conditions * catalogues and descriptive information including authority files!! classification schemes!! thesauri!! and finding aids * condition and preservation reports * deaccessioning and disposal decisions including notifications to owners of items and destruction logs.,Permanent. Transfer to QSA after business action completed.,2016-09-01
